no,code,result,error,
544,400,2000,TO0014C-163-0000,1
545,400,1000,TO0013R-050-0002,3
546,400,1000,TO0013R-050-0003,3
547,400,1000,TO0013R-050-0005,3
548,400,2000,TO0013R-156-0000,1
549,400,2000,TO0013R-158-0000,1
550,400,2000,TO0013R-159-0000,1
551,400,2000,TO0013R-160-0000,1
552,400,2000,TO0013R-163-0000,1
553,400,2000,TO0011R-001-0000,1
554,400,2000,TO0011R-010-0000,1
555,400,2000,TO0011R-027-0000,1
556,400,1000,TO0011R-050-0002,3
557,400,1000,TO0011R-050-0003,3
558,400,1000,TO0011R-050-0004,3
559,400,1000,TO0011R-050-0005,3
560,400,2000,TO0011R-063-0000,1
561,400,2000,TO0011R-069-0000,1
562,400,2000,TO0011R-156-0000,1
563,400,2000,TO0011R-158-0000,1
564,400,2000,TO0011R-159-0000,1
565,400,2000,TO0011R-160-0000,1
566,400,2000,TO0011R-163-0000,1
567,400,2000,TO0012C-001-0000,1
568,400,2000,TO0012C-010-0000,1
569,400,2000,TO0012C-027-0000,1
570,400,1000,TO0012C-050-0002,3
571,400,1000,TO0012C-050-0003,3
572,400,1000,TO0012C-050-0004,3
573,400,2000,TO0012C-062-0000,1
574,400,2000,TO0012C-063-0000,1
575,400,2000,TO0012C-069-0000,1
576,400,2000,TO0012C-129-0000,1
577,400,2000,TO0012C-156-0000,1
578,400,2000,TO0012C-158-0000,1
579,400,2000,TO0012C-159-0000,1
580,400,2000,TO0012C-160-0000,1
581,400,2000,TO0012C-163-0000,1
582,400,2000,TO0017R-001-0000,1
583,400,2000,TO0017R-027-0000,1
584,400,1000,TO0017R-050-0002,3
585,400,1000,TO0017R-050-0003,3
586,400,1000,TO0017R-050-0005,3
587,400,2000,TO0017R-071-0000,1
588,400,2000,TO0018R-001-0000,1
589,400,2000,TO0018R-027-0000,1
590,400,1000,TO0018R-050-0002,3
591,400,1000,TO0018R-050-0003,3
592,400,2000,TO0018R-061-0000,1
593,400,2000,TO0018R-066-0000,1
594,400,2000,TO0018R-071-0000,1
595,400,2000,TO0018R-091-0000,1
596,400,2000,TO0019C-001-0000,1
597,400,2000,TO0019C-010-0000,1
598,400,2000,TO0019C-027-0000,1
599,400,1000,TO0019C-050-0002,3
600,400,1000,TO0019C-050-0003,3
601,400,1000,TO0019C-050-0004,3
602,400,1000,TO0019C-050-0007,3
603,400,2000,TO0019C-061-0000,1
604,400,2000,TO0019C-062-0000,1
605,400,2000,TO0019C-063-0000,1
606,400,2000,TO0019C-066-0000,1
607,400,2000,TO0019C-069-0000,1
608,400,2000,TO0019C-070-0000,1
609,400,2000,TO0019C-071-0000,1
610,400,2000,TO0019C-091-0000,1
611,400,2000,TO0019C-172-0000,1
612,400,2000,TO0019C-173-0000,1
613,400,2000,TO0020D-001-0000,1
614,400,2000,TO0020D-007-0000,1
615,400,2000,TO0020D-008-0000,1
616,400,2000,TO0020D-027-0000,1
617,400,1000,TO0020D-050-0002,3
618,400,1000,TO0020D-050-0003,3
619,400,1000,TO0020D-050-0004,3
620,400,1000,TO0020D-050-0007,3
621,400,2000,TO0020D-071-0000,1
